Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_48,VGND,li1,28.0600,48.9600,0.000057
FILLER_14_40,VGND,li1,25.7600,48.9600,0.000047
FILLER_14_35,VGND,li1,21.8500,48.9600,0.000047
FILLER_14_29,VGND,li1,20.2400,48.9600,0.000048
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000048
FILLER_14_23,VGND,li1,17.0200,48.9600,0.000048
FILLER_14_18,VGND,li1,14.2600,48.9600,0.000048
FILLER_14_6,VGND,li1,11.0400,48.9600,0.000049
FILLER_13_179,VGND,li1,88.5500,48.9600,0.000224
FILLER_13_169,VGND,li1,83.4900,48.9600,0.000223
FILLER_13_167,VGND,li1,82.5700,48.9600,0.000223
FILLER_13_146,VGND,li1,73.1400,48.9600,0.000212
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000167
FILLER_13_107,VGND,li1,55.6600,48.9600,0.000167
FILLER_13_80,VGND,li1,43.0100,48.9600,0.000122
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000074
FILLER_13_47,VGND,li1,27.3700,48.9600,0.000057
FILLER_13_28,VGND,li1,19.3200,48.9600,0.000048
FILLER_13_3,VGND,li1,7.5900,48.9600,0.000049
FILLER_12_176,VGND,li1,86.9400,43.5200,0.000563
FILLER_12_141,VGND,li1,71.0700,43.5200,0.000525
FILLER_12_131,VGND,li1,66.0100,43.5200,0.000499
FILLER_12_112,VGND,li1,57.7300,43.5200,0.000431
FILLER_12_93,VGND,li1,48.9900,43.5200,0.000352
FILLER_12_85,VGND,li1,46.4600,43.5200,0.000327
FILLER_12_65,VGND,li1,35.8800,43.5200,0.000222
FILLER_12_57,VGND,li1,33.5800,43.5200,0.000188
FILLER_12_40,VGND,li1,24.1500,43.5200,0.000109
FILLER_12_33,VGND,li1,21.1600,43.5200,0.000110
FILLER_12_25,VGND,li1,17.7100,43.5200,0.000111
FILLER_12_17,VGND,li1,15.1800,43.5200,0.000112
FILLER_11_113,VGND,li1,58.4200,43.5200,0.000431
FILLER_11_87,VGND,li1,45.7700,43.5200,0.000307
FILLER_11_79,VGND,li1,43.7000,43.5200,0.000287
FILLER_11_61,VGND,li1,34.0400,43.5200,0.000188
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000164
FILLER_11_47,VGND,li1,28.9800,43.5200,0.000133
FILLER_11_29,VGND,li1,19.0900,43.5200,0.000110
FILLER_11_21,VGND,li1,17.0200,43.5200,0.000111
FILLER_10_165,VGND,li1,81.6500,38.0800,0.000601
FILLER_10_137,VGND,li1,69.2300,38.0800,0.000587
FILLER_10_111,VGND,li1,56.8100,38.0800,0.000534
FILLER_10_101,VGND,li1,52.2100,38.0800,0.000505
FILLER_10_82,VGND,li1,43.7000,38.0800,0.000438
FILLER_10_41,VGND,li1,24.6100,38.0800,0.000161
FILLER_10_37,VGND,li1,23.4600,38.0800,0.000161
FILLER_10_29,VGND,li1,19.5500,38.0800,0.000162
FILLER_10_22,VGND,li1,17.0200,38.0800,0.000163
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000164
FILLER_9_181,VGND,li1,89.0100,38.0800,0.000603
FILLER_9_169,VGND,li1,83.9500,38.0800,0.000603
FILLER_9_165,VGND,li1,82.1100,38.0800,0.000601
FILLER_9_137,VGND,li1,68.7700,38.0800,0.000584
FILLER_9_131,VGND,li1,67.1600,38.0800,0.000584
FILLER_9_113,VGND,li1,57.9600,38.0800,0.000534
FILLER_9_77,VGND,li1,41.4000,38.0800,0.000410
FILLER_9_42,VGND,li1,26.6800,38.0800,0.000207
FILLER_9_30,VGND,li1,19.5500,38.0800,0.000162
FILLER_9_24,VGND,li1,17.9400,38.0800,0.000163
FILLER_9_12,VGND,li1,13.8000,38.0800,0.000164
FILLER_8_141,VGND,li1,70.6100,32.6400,0.000159
FILLER_8_138,VGND,li1,69.4600,32.6400,0.000159
FILLER_8_111,VGND,li1,57.0400,32.6400,0.000145
FILLER_8_85,VGND,li1,44.8500,32.6400,0.000126
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000126
FILLER_8_51,VGND,li1,30.8200,32.6400,0.000075
FILLER_8_39,VGND,li1,26.2200,32.6400,0.000056
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000065
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000074
FILLER_7_181,VGND,li1,89.0100,32.6400,0.000174
FILLER_7_169,VGND,li1,83.9500,32.6400,0.000173
FILLER_7_150,VGND,li1,74.9800,32.6400,0.000165
FILLER_7_138,VGND,li1,69.2300,32.6400,0.000159
