Metric,Value
design_powergrid__voltage__worst__net:VGND,0.000626401
design_powergrid__drop__worst__net:VGND,0.000626401
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0001450000000000000008500145032286354762618429958820343017578125
ir__drop__worst,0.00085800000000000003867739462037889097700826823711395263671875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
